Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1792.1034790963458
FDW14,OUT017,1467.4015176236717
NCN55,OUT010,1882.3819717312872
FDQ58,OUT017,2621.118943327907
FDY38,OUT027,5138.5771169356885
FDH56,OUT046,2005.2313865766773
FDL48,OUT018,596.215989592718
FDC48,OUT027,2783.201532016101
FDN33,OUT045,1506.4998182022682
FDA36,OUT017,3129.9001192256546
FDT44,OUT017,2059.5724072344165
FDQ56,OUT045,1347.9073143292917
NCC54,OUT019,1867.813296530905
FDU11,OUT049,2013.7118490811117
DRL59,OUT013,878.6869479072193
FDM24,OUT049,2511.293204890375
FDI57,OUT045,3277.944149620991
DRC12,OUT018,2751.971291619455
NCM42,OUT027,3186.693287366812
FDA46,OUT010,1117.904784200975
FDA31,OUT013,2832.9859102787304
NCJ31,OUT035,3829.0101584190124
FDG52,OUT046,787.403918184631
NCL19,OUT019,374.40371333324583
FDS10,OUT035,2965.0976363598747
FDX22,OUT010,1458.4610535110842
NCF19,OUT035,866.906940760513
NCE06,OUT046,2574.014635067899
DRC27,OUT046,3874.33898996019
FDE21,OUT035,1981.3423207090382
NCR42,OUT019,-1370.5191473149607
FDX51,OUT018,2874.2316299005324
NCR06,OUT018,421.0256639704603
FDU31,OUT027,4982.906549807201
FDU59,OUT017,2755.594745210896
FDR03,OUT027,4759.907079946119
FDS49,OUT027,2779.4228940140893
FDD48,OUT010,-67.09493914135965
NCF18,OUT017,3141.9325898198877
NCD43,OUT027,3092.4447454891197
NCD54,OUT018,1981.6540393999458
FDY19,OUT010,-37.22967793540738
NCY54,OUT017,2836.088604942561
NCL19,OUT018,2027.9647414026113
FDP23,OUT010,1543.8982737110782
FDC26,OUT013,1843.5802954133396
FDR14,OUT010,-1087.5569211909606
NCS41,OUT035,3000.1855664486793
FDF41,OUT035,3969.967822797291
FDU34,OUT046,2034.2221664108947
DRH11,OUT046,994.5291933331755
FDM03,OUT013,1732.088260505625
FDS31,OUT017,3098.3778328490735
FDJ20,OUT017,2164.055711673238
FDV44,OUT027,4526.526913424677
FDG02,OUT049,3092.8074480789946
FDA09,OUT013,2938.6468727859756
FDT04,OUT013,610.8322584167909
FDL58,OUT019,2281.0245677373314
FDE52,OUT045,1414.4617387418984
FDW12,OUT035,2464.36407100255
FDL51,OUT017,3549.9777351055673
NCY42,OUT027,3683.3982389950543
FDR07,OUT017,1729.8141719397827
FDN40,OUT045,2342.4098313916475
FDB35,OUT027,2984.597720849313
FDA22,OUT017,2850.38771902991
NCL06,OUT046,4150.406548809129
FDI35,OUT013,2944.1675692099816
NCW42,OUT045,3407.691231657911
NCX06,OUT049,2886.398705272426
FDC37,OUT027,3200.389015791661
FDZ14,OUT018,1696.4593463970523
DRG49,OUT049,3900.6173560099123
NCG06,OUT045,3956.2707404300163
DRC36,OUT045,2722.826002124668
FDV21,OUT019,31.930923618521774
FDB53,OUT046,2367.8625368424837
DRP47,OUT019,2044.2780598493991
FDA14,OUT013,2273.3986135730665
DRC24,OUT035,2514.8027946558577
FDW21,OUT018,1403.4432830867008
NCH29,OUT046,1622.4312828789407
FDU58,OUT013,3073.4895369330334
FDY27,OUT017,2936.754676373399
FDV56,OUT035,1940.2526548292371
FDT59,OUT046,3681.813356493207
FDB23,OUT046,3701.2322686214757
FDR49,OUT045,722.0449432910536
FDB03,OUT010,1863.4028584816406
FDN39,OUT045,2637.764230130124
FDX02,OUT027,4941.356069501373
FDQ16,OUT027,3163.5590253985574
FDU35,OUT018,1333.9819081832393
NCT29,OUT013,1978.945428695617
FDZ27,OUT046,830.4240156507149
FDN57,OUT017,2376.436418282785
FDA03,OUT018,2053.5990011651593
FDZ36,OUT045,2933.979016315323
NCU05,OUT013,1343.1236827984249
FDT39,OUT018,2197.6348178463813
FDK60,OUT017,1745.366421290586
FDZ25,OUT017,2914.1097910374083
FDG12,OUT046,1965.795889443063
DRB01,OUT019,1145.1442496965174
NCC43,OUT027,5360.474492567504
FDX13,OUT019,2059.260885870375
FDM22,OUT049,975.3497879104252
FDJ03,OUT027,2267.652985693363
FDU14,OUT018,3645.723916295916
FDB33,OUT010,669.3385065428592
FDP27,OUT046,3058.7133355996775
FDO38,OUT010,-646.7109909632563
FDE28,OUT027,5113.80079819652
FDO27,OUT035,1652.1704438896995
DRL23,OUT027,3189.7930076649354
FDS28,OUT046,988.5981438401359
FDX24,OUT013,1546.673257502276
FDZ02,OUT035,1668.9763313576696
FDL46,OUT045,1807.4491882311559
FDS60,OUT027,4298.960168396501
NCO06,OUT017,659.392161823358
FDO16,OUT035,1463.328154577568
FDC60,OUT049,1500.3242946198152
FDA48,OUT018,3193.9608988531836
FDZ36,OUT027,4471.433063028249
FDK27,OUT045,1893.512769922614
FDW23,OUT018,383.65855894719425
FDM14,OUT018,1537.0371668060106
FDM14,OUT013,1814.598771979232
FDW60,OUT018,2610.9477886697277
FDE21,OUT013,1945.305669697409
NCM42,OUT035,1833.9691976235626
FDY59,OUT010,-379.0864332691999
DRI49,OUT049,1310.7887538359064
FDT28,OUT019,481.63484584989783
FDQ22,OUT018,396.99444464240514
FDR60,OUT049,1247.063966322894
FDC50,OUT019,-415.7982736234844
FDV24,OUT013,2443.1331679000723
DRF48,OUT010,1080.988644700541
FDQ47,OUT046,695.0517916120152
DRN36,OUT049,1646.4539768345712
NCY06,OUT035,2118.537871377237
FDE52,OUT035,1563.6548659937835
NCB54,OUT045,1967.9038951142138
NCF31,OUT035,2497.946111714671
FDJ08,OUT027,4478.2049510968645
NCC07,OUT017,1821.8421416986675
NCD19,OUT027,2320.746774489031
FDL46,OUT049,1967.1251512189629
FDM20,OUT045,3869.888588859336
NCI06,OUT010,919.3950223646825
DRM11,OUT035,4195.579243451459
NCH07,OUT018,2200.7267769799946
FDS23,OUT013,2090.709186921711
FDO49,OUT018,608.5721117289504
FDS35,OUT049,1118.2564518020226
DRK39,OUT045,1247.8302510929352
DRI39,OUT049,965.0834951797588
FDV04,OUT017,2651.114906949122
NCN14,OUT035,2963.911537062653
FDH08,OUT013,3734.042887733085
FDS20,OUT046,2990.682977761171
FDV40,OUT049,1267.7890684805607
FDZ48,OUT010,-147.86122992727906
FDS24,OUT027,2913.639365944575
FDK44,OUT049,2835.120168234498
FDS48,OUT045,2357.553246297335
FDK26,OUT010,1138.7274750109063
FDD23,OUT045,3009.799958381176
NCH54,OUT017,2639.725885574706
NCP14,OUT010,-261.8510396119091
FDM60,OUT010,-1194.2086931460071
FDV24,OUT017,2546.258421866951
FDH08,OUT018,3391.10288687321
FDS12,OUT027,3460.1926075658994
